anime_id,Name,Score,Genres,Episodes_Count,Status,Licensors,Source,Duration,Rating,Rank,class,Episodes
1,Cowboy Bebop,8.75,"Action, Award Winning, Sci-Fi",26,Finished Airing,Funimation,Original,24 min per ep,R - 17+ (violence & profanity),41,1,Short
5,Cowboy Bebop: Tengoku no Tobira,8.38,"Action, Sci-Fi",1,Finished Airing,Sony Pictures Entertainment,Original,1 hr 55 min,R - 17+ (violence & profanity),189,1,Short
6,Trigun,8.22,"Action, Adventure, Sci-Fi",26,Finished Airing,Funimation,Manga,24 min per ep,PG-13 - Teens 13 or older,328,1,Short
7,Witch Hunter Robin,7.25,"Action, Drama, Mystery, Supernatural",26,Finished Airing,Funimation,Original,25 min per ep,PG-13 - Teens 13 or older,2764,0,Short
8,Bouken Ou Beet,6.94,"Adventure, Fantasy, Supernatural",52,Finished Airing,Illumitoon Entertainment,Manga,23 min per ep,PG - Children,4240,0,Medium
15,Eyeshield 21,7.92,Sports,145,Finished Airing,VIZ Media,Manga,23 min per ep,PG-13 - Teens 13 or older,688,0,Long
16,Hachimitsu to Clover,8,"Comedy, Drama, Romance",24,Finished Airing,VIZ Media,Manga,23 min per ep,PG-13 - Teens 13 or older,589,1,Short
18,Initial D Fourth Stage,8.16,"Action, Drama",24,Finished Airing,Funimation,Manga,27 min per ep,PG-13 - Teens 13 or older,393,1,Short
19,Monster,8.87,"Drama, Mystery, Suspense",74,Finished Airing,VIZ Media,Manga,24 min per ep,R+ - Mild Nudity,26,1,Medium
20,Naruto,7.99,"Action, Adventure, Fantasy",220,Finished Airing,VIZ Media,Manga,23 min per ep,PG-13 - Teens 13 or older,599,0,Long
22,Tennis no Ouji-sama,7.86,Sports,178,Finished Airing,Funimation,Manga,22 min per ep,PG-13 - Teens 13 or older,805,0,Long
24,School Rumble,7.89,"Comedy, Romance",26,Finished Airing,Funimation,Manga,23 min per ep,PG-13 - Teens 13 or older,756,0,Short
25,Sunabouzu,7.38,"Action, Adventure, Comedy, Sci-Fi, Ecchi",24,Finished Airing,Funimation,Manga,24 min per ep,R - 17+ (violence & profanity),2167,0,Short
26,Texhnolyze,7.76,"Action, Drama, Sci-Fi",22,Finished Airing,Funimation,Original,23 min per ep,R+ - Mild Nudity,990,0,Short
28,Yakitate!! Japan,7.91,"Comedy, Gourmet",69,Finished Airing,Nozomi Entertainment,Manga,24 min per ep,PG-13 - Teens 13 or older,704,0,Medium
